,State,Year,Glucose,Insulin,HeartDisease,Cholesterol,Diabetes,Type2diabetes,2diabetes,Hypertension,Type2,Diabetesin,Glucoselevels,Hyperglycemia,Bloodglucose,Corticosteroids,Obstructivesleepapnea,y
139,Oregon,2014,14.0,13.0,7.0,14.0,58.0,25.0,28.0,46.0,33.0,24.0,24.0,22.0,55.0,13.0,3.0,9.0
140,Pennsylvania,2014,23.0,22.0,12.0,24.0,84.0,43.0,46.0,86.0,58.0,45.0,43.0,38.0,79.0,22.0,8.0,11.2
141,Rhode Island,2014,21.0,20.0,12.0,27.0,78.0,33.0,0.0,70.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5
142,South Carolina,2014,20.0,20.0,10.0,23.0,84.0,47.0,50.0,70.0,63.0,45.0,43.0,37.0,77.0,22.0,0.0,12.0
143,South Dakota,2014,28.0,29.0,12.0,23.0,100.0,57.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1
144,Tennessee,2014,24.0,24.0,13.0,27.0,93.0,41.0,44.0,95.0,56.0,48.0,44.0,41.0,91.0,27.0,9.0,13.0
145,Texas,2014,20.0,19.0,9.0,22.0,82.0,38.0,43.0,71.0,51.0,42.0,39.0,33.0,71.0,19.0,5.0,11.0
146,Utah,2014,21.0,19.0,11.0,21.0,85.0,45.0,45.0,69.0,59.0,45.0,33.0,29.0,81.0,21.0,0.0,7.1
147,Vermont,2014,22.0,22.0,12.0,20.0,72.0,35.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
148,Virginia,2014,16.0,14.0,8.0,18.0,67.0,29.0,33.0,57.0,39.0,32.0,30.0,23.0,57.0,15.0,5.0,9.7
149,Washington,2014,21.0,18.0,9.0,21.0,74.0,41.0,45.0,63.0,56.0,35.0,38.0,31.0,81.0,19.0,6.0,8.9
150,West Virginia,2014,27.0,29.0,14.0,28.0,100.0,56.0,0.0,99.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1
151,Wisconsin,2014,22.0,21.0,12.0,22.0,81.0,43.0,46.0,71.0,59.0,43.0,49.0,39.0,85.0,20.0,7.0,9.0
152,Wyoming,2014,18.0,24.0,10.0,21.0,82.0,41.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
153,Alabama,2013,22.0,23.0,13.0,25.0,92.0,43.0,46.0,79.0,54.0,46.0,41.0,43.0,77.0,25.0,5.0,13.8
154,Alaska,2013,18.0,19.0,9.0,23.0,84.0,31.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
155,Arizona,2013,21.0,21.0,11.0,23.0,83.0,38.0,42.0,74.0,51.0,40.0,44.0,37.0,85.0,21.0,7.0,10.7
156,Arkansas,2013,23.0,24.0,14.0,26.0,92.0,44.0,46.0,71.0,55.0,51.0,49.0,35.0,95.0,33.0,0.0,11.5
157,California,2013,20.0,17.0,9.0,22.0,73.0,32.0,36.0,55.0,42.0,32.0,35.0,27.0,69.0,18.0,5.0,10.2
158,Colorado,2013,18.0,18.0,10.0,22.0,72.0,33.0,35.0,58.0,45.0,33.0,33.0,24.0,66.0,20.0,5.0,6.5
159,Connecticut,2013,21.0,21.0,11.0,27.0,83.0,36.0,38.0,66.0,43.0,41.0,37.0,35.0,82.0,19.0,8.0,8.3
160,Delaware,2013,27.0,25.0,12.0,31.0,93.0,54.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1
161,District of Columbia,2013,19.0,15.0,10.0,23.0,81.0,27.0,30.0,64.0,38.0,36.0,37.0,29.0,63.0,19.0,0.0,7.8
162,Florida,2013,19.0,18.0,10.0,24.0,78.0,31.0,35.0,69.0,43.0,36.0,37.0,33.0,73.0,22.0,5.0,11.2
163,Georgia,2013,17.0,17.0,10.0,23.0,73.0,33.0,36.0,62.0,43.0,38.0,34.0,30.0,66.0,18.0,5.0,10.8
164,Hawaii,2013,21.0,16.0,12.0,24.0,78.0,42.0,0.0,71.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
165,Idaho,2013,23.0,26.0,10.0,23.0,92.0,46.0,0.0,67.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
166,Illinois,2013,18.0,17.0,9.0,23.0,75.0,32.0,36.0,59.0,43.0,34.0,38.0,32.0,71.0,19.0,5.0,9.9
167,Indiana,2013,24.0,26.0,12.0,26.0,93.0,49.0,51.0,72.0,60.0,50.0,49.0,34.0,100.0,22.0,7.0,11.0
